orgid,ein,charity_name,category,city,state,efficiency_rating_star,affiliate_payments,admin_expense,total_revenue,program_expense,other_revenue,capacity_rating,program_expense_percent,primary_revenue_growth,fund_efficiency,cause,tag_line,overall_rating,website,total_functional_expense,leader_comp,program_expense_growth,net_assets,efficiency_rating,leader_comp_percent,capacity_rating_star,budget_surplus,admin_expense_percent,fund_expense,primary_revenue,url,fund_expense_percent,email,working_capital_ratio,overall_rating_star
12123,23-7172077,100 Club of Arizona,Human Services,Phoenix,AZ,4,0,178385,984508,1019191,-227543,26.31,82.4,6.2,0.03,Multipurpose Human Service Organizations,Supporting families of public safety,64.56,http://www.100club.org,1235475,122623,6.3,1316781,38.24,9.92,4,-250967,14.4,37899,1212051,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12123,3.0,info@100club.org,1.06,4
10092,59-2761163,1000 Friends of Florida,Environment,Tallahassee,FL,4,0,89727,783852,730434,21340,8.66,85.4,-2.5,0.06,Environmental Protection and Conservation,Building better communities,47.20,http://www.1000fof.org/,854654,95060,-0.5,720681,38.54,11.12,1,-70802,10.4,34493,762512,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10092,4.0,friends@1000fof.org,0.84,2
8770,93-0642086,1000 Friends of Oregon,Environment,Portland,OR,2,0,169165,1225853,861069,1700,7.70,73.5,1.4,0.11,Environmental Protection and Conservation,Working with Oregonians to enhance our quality of life,40.05,http://www.friends.org,1171289,80000,-2.2,170193,32.35,6.83,1,54564,14.4,141055,1224153,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8770,12.0,info@friends.org,0.14,2
4792,13-1624229,The 92nd Street Y,Human Services,New York,NY,4,0,4981125,53827214,54116150,-1772167,22.93,90.4,13.7,0.03,Multipurpose Human Service Organizations,Enriching the lives of the people who pass through its doors,61.85,http://www.92y.org,59806314,386217,5.4,71135845,38.92,0.64,4,-5979100,8.3,709039,55599381,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4792,1.1,development@92y.org,0.77,4
6082,23-7173492,A Better Chance,Education,New York,NY,0,0,328389,762317,2020926,-1140927,1.39,66.2,-6.1,0.40,Other Education Programs and Services,Opening the door to greater educational opportunities since 1963,21.47,http://www.abetterchance.org,3051129,187850,1.3,10506628,20.08,6.15,0,-2288812,10.7,701814,1903244,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6082,23.0,lpitts@abetterchance.org,-0.49,0
3634,91-0787792,A Contemporary Theatre,"Arts, Culture, Humanities",Seattle,WA,3,0,737697,5743981,4578026,416495,3.13,80.5,-0.5,0.13,Performing Arts,In your life. In our name. And on our stage.,37.88,http://www.acttheatre.org,5683229,72850,-0.3,-2348160,34.74,1.28,1,60752,12.9,367506,5327486,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3634,6.4,development@acttheatre.org,-0.41,1
9239,31-1440073,A Kid Again,Health,Columbus,OH,2,0,129170,1803195,1424350,606004,23.49,75.4,5.6,0.28,Patient and Family Support,Where a child with a life threatening illness is . . .a kid again,51.03,http://www.akidagain.org,1888976,,9.1,869604,27.54,,4,-85781,6.8,335456,1197191,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9239,17.7,customerservice@akidagain.org,0.42,3
10176,95-4443878,A Noise Within,"Arts, Culture, Humanities",Glendale,CA,3,0,55962,3055836,858580,56838,30.00,76.7,34.1,0.08,Performing Arts,California's home for the classics,62.67,http://www.anoisewithin.org,1118508,62100,12.1,4881606,32.67,5.55,4,1937328,5.0,203966,2998998,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10176,18.2,donors@anoisewithin.org,4.36,4
8040,95-4427291,A Place Called Home,Human Services,Los Angeles,CA,4,0,478879,3859120,2841551,1495436,20.91,80.9,7.2,0.08,"Youth Development, Shelter, and Crisis Services",A positive environment where young people develop tools and become empowered to have decent lives,58.67,http://www.apch.org,3512307,120000,3.4,2950721,37.76,3.41,3,346813,13.6,191877,2363684,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8040,5.4,info@apch.org,0.84,3
6096,23-7379088,A.J. Muste Memorial Institute,Public Benefit,New York,NY,4,0,61157,1035159,929979,27963,15.86,90.6,3.1,0.03,Advocacy and Civil Rights,Supporting nonviolence and social justice since 1974,54.92,http://www.ajmuste.org/,1025837,35347,1.4,792867,39.06,3.44,2,9322,5.9,34701,1007196,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6096,3.3,info@ajmuste.org,0.77,3
8302,52-0794368,AAA Foundation for Traffic Safety,Public Benefit,Washington,DC,4,0,148806,3420445,2480164,503860,23.78,89.2,7.9,0.05,Research and Public Policy Institutions,Saving lives through research and education,62.71,http://www.aaafoundation.org,2777686,215626,3.7,11837494,38.92,7.76,4,642759,5.3,148716,2916585,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8302,5.3,info@aaafoundation.org,1.93,4
4991,13-3540234,Aaron Diamond AIDS Research Center,Health,New York,NY,4,0,2670888,17015844,15352860,-296237,30.00,83.1,9.4,0.02,Medical Research,Finding solutions to end the AIDS epidemic,68.31,http://www.adarc.org,18455008,584500,9.0,51159456,38.31,3.16,4,-1439164,14.4,431260,17312081,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4991,2.3,webinfo@adarc.org,2.50,4
3205,52-0794300,AARP Foundation,Public Benefit,Washington,DC,4,0,2988490,118854085,117699328,950075,13.78,90.2,-1.0,0.08,Advocacy and Civil Rights,Dedicated to enhancing the quality of life for all as we age,52.81,,130343370,235237,6.0,54428925,39.02,0.18,2,-11489285,2.2,9655552,117904010,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3205,7.4,,0.41,3
3240,52-6037388,AAUW Educational Foundation,Education,Washington,DC,2,0,412701,373157,6154843,-4387804,20.07,76.9,5.3,0.30,Other Education Programs and Services,Breaking through barriers for women and girls since 1958,47.76,,8002120,191190,0.9,101211733,27.69,2.38,3,-7628963,5.1,1434576,4760961,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3240,17.9,,3.01,2
7940,94-1546643,Abilities United,Human Services,Palo Alto,CA,3,0,975937,5037343,3781080,-63939,8.91,75.0,0.2,0.19,Social Services,Championing people with development and physical challenges,41.42,http://abilitiesunited.org,5036040,135000,2.3,1515291,32.50,2.68,1,1303,19.3,279023,5101282,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7940,5.5,info@abilitiesunited.org,0.14,2
9182,94-3087060,Abode Services,Human Services,Fremont,CA,4,0,491460,5815095,5078962,48665,30.00,87.3,19.1,0.04,Homeless Services,Together we can end homelessness in our community,68.73,http://www.abodeservices.org,5813779,136124,36.1,6745220,38.73,2.34,4,1316,8.4,243357,5766430,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9182,4.1,info@abodeservices.org,1.16,4
9371,13-3556715,The Abraham Fund Initiatives,International,New York,NY,4,0,313201,4135348,3190242,74185,25.83,82.3,9.7,0.09,Single Country Support Organizations,Advancing coexistence and equality among Jews and Arabs in Israel,64.07,http://www.abrahamfund.org,3871864,275000,8.3,2488193,38.23,7.10,4,263484,8.0,368422,4061163,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9371,9.5,info@abrahamfund.org,0.63,4
6013,13-3091539,Abraham Joshua Heschel School,Education,New York,NY,4,0,2748400,56780262,25235771,579943,30.00,87.9,38.7,0.02,Private Elementary and Secondary Schools,"Opening minds, bridging differences, living Jewish values",68.79,http://www.heschel.org,28677417,462130,11.4,103276622,38.79,1.61,4,28102845,9.5,693246,56200319,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6013,2.4,carolw@heschel.org,3.37,4
12762,91-1339173,Abused Deaf Women's Advocacy Services,Human Services,Seattle,WA,2,0,68662,1233390,1069229,6753,19.91,79.8,-6.3,0.17,Social Services,Providing comprehensive services to deaf and deaf-blind victims/survivors of sexual assault,50.39,http://www.adwas.org/,1339198,80746,9.9,2780398,30.48,6.02,3,-105808,5.1,201307,1226637,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12762,15.0,adwas@adwas.org,2.07,3
4994,13-3552154,Abyssinian Development Corporation,Public Benefit,New York,NY,2,0,1774802,30599764,17031334,17803839,27.50,85.7,49.1,0.43,Community and Housing Development,Believe. Build. Empower.,58.57,http://www.adcorp.org,19852817,200000,45.0,19600931,31.07,1.00,4,10746947,8.9,1046681,12795925,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4994,5.2,adc@adcorp.org,0.96,3
3208,95-2243698,Academy Foundation,"Arts, Culture, Humanities",Beverly Hills,CA,1,4873206,1942904,10187934,3446504,3769780,10.00,63.9,-22.7,0.00,"Libraries, Historical Societies and Landmark Preservation",Organizing and overseeing the educational and cultural activities of the motion picture industry,36.39,http://www.oscars.org/,5390208,305760,-34.3,77217087,26.39,5.67,1,-75480,36.0,800,6418154,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3208,0.0,,5.72,1
5705,75-6042129,Academy of Achievement,Education,Washington,DC,4,0,195177,3475135,3123787,73855,7.50,89.4,-19.9,0.05,Other Education Programs and Services,A museum of living history,46.12,http://www.achievement.org,3491834,0,-21.9,2731913,38.62,0,1,-16699,5.5,172870,3401280,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5705,4.9,editor_1@achievement.org,0.50,2
9256,13-1879953,Academy of American Poets,"Arts, Culture, Humanities",New York,NY,1,0,191013,1561800,1259978,267531,16.76,73.6,-1.7,0.22,Performing Arts,Serving poets and poetry since 1934,44.13,http://www.poets.org,1710181,146669,4.5,7500896,27.36,8.57,2,-148381,11.1,259190,1294269,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9256,15.1,membership@poets.org,1.71,2
3209,23-1352000,The Academy of Natural Sciences,"Arts, Culture, Humanities",Philadelphia,PA,3,0,1534696,13724153,12026797,3585154,14.29,83.4,-5.1,0.12,Museums,Connecting people to nature since 1812,50.13,http://www.ansp.org,14416882,263006,6.7,62313142,35.84,1.82,2,-692729,10.6,855389,10138999,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3209,5.9,membership@ansp.org,1.55,3
9103,95-2283284,Academy of Television Arts & Sciences Foundation,Education,North Hollywood,CA,1,0,868852,2951565,1755339,611381,20.00,65.0,14.3,0.03,Other Education Programs and Services,"To educate, inspire and preserve",46.50,http://emmys.org/foundation/,2698192,0,-0.5,2840849,26.50,0,3,253373,32.2,74001,2340184,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9103,2.7,clark@emmys.org,1.05,2
6064,23-1352001,Academy of Vocal Arts,Education,Philadelphia,PA,2,0,348140,1921607,2327433,-31469,24.70,75.5,9.1,0.25,Other Education Programs and Services,Giving voice to opera's future,54.76,http://www.avaopera.com,3079409,120000,4.7,20405725,30.05,3.89,4,-1157802,11.3,403836,1953076,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6064,13.1,info@avaopera.com,1.40,3
10907,04-3555864,Accelerated Cure Project for Multiple Sclerosis ,Health,Waltham,MA,2,0,230515,4964583,1859865,-176202,30.00,73.8,29.5,0.08,"Diseases, Disorders, and Disciplines",Dedicated to curing multiple sclerosis by determining its causes,62.38,http://www.acceleratedcure.org/,2518582,143611,18.3,3918318,32.38,5.70,4,2446001,9.1,428202,5140785,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10907,17.0,info-web0209@acceleratedcure.org,1.55,4
9311,94-3131165,Access Fund,Environment,Boulder,CO,4,0,106982,1273699,800287,97278,11.40,79.9,2.6,0.07,"Botanical Gardens, Parks, and Nature Centers",Keeping climbing areas open and conserving the climbing environment,49.40,,1000669,77151,-2.6,704059,37.99,7.70,1,273030,10.6,93400,1176421,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9311,9.3,,0.70,2
3211,13-2535763,ACCION International,International,Boston,MA,2,0,5740655,45510811,21169937,32754956,30.00,72.2,22.3,0.23,Development and Relief Services,Helping millions help themselves,59.72,http://www.accion.org,29311861,733952,12.3,333904315,29.72,2.50,4,16198950,19.5,2401269,12755855,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3211,8.1,donate@accion.org,11.39,3
7904,85-0417347,ACCION New Mexico,Public Benefit,Albuquerque,NM,3,0,78964,2662096,1870020,314595,10.00,87.6,-6.9,0.11,Community and Housing Development,Lending. Supporting. Inspiring.,46.26,http://www.accionnm.org/,2133417,112378,-1.3,6763162,36.26,5.26,1,528679,3.7,184433,2347501,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7904,8.6,accion@accionnm.org,2.29,2
7754,11-3317234,ACCION New York and New Jersey,Public Benefit,New York,NY,3,0,451163,4181804,3887080,161339,7.50,84.2,-8.3,0.10,Community and Housing Development,Providing microloans and business advisory services to individuals and small businesses,42.91,http://www.accionusa.org,4615867,186961,-6.7,2520402,35.41,4.05,1,-434063,9.7,277624,4020465,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7754,6.0,donate@accionusa.org,0.54,2
7806,33-0620415,ACCION San Diego,Public Benefit,San Diego,CA,4,0,64372,823774,731955,26906,21.47,89.2,-0.5,0.05,Community and Housing Development,Lending. Supporting. Inspiring.,60.40,http://www.accionsandiego.org/,819741,61688,8.2,2039822,38.92,7.52,3,4033,7.8,23414,796868,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7806,2.8,info@accionsandiego.org,2.48,4
8163,04-3219159,ACCION USA,Public Benefit,New York,NY,3,0,417220,2243630,3876620,31394,10.40,85.5,-4.1,0.17,Community and Housing Development,Providing small business loans and microfinance,45.01,http://www.accionusa.org,4529525,,7.9,689068,34.60,,1,-2285895,9.2,235685,2212236,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8163,5.2,donate@accionusa.org,0.15,2
6917,34-0714766,Achievement Centers for Children,Human Services,Highland Hills,OH,3,0,886455,5961340,6312616,-213403,18.54,83.6,-1.6,0.17,Social Services,Serving children with disabilities for over 70 years,54.41,http://www.achievementcenters.org/,7542470,170322,6.4,18618016,35.86,2.25,3,-1581130,11.7,343399,6174743,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6917,4.5,deborah.osgood@achievementctrs.org,2.39,3
10383,65-1023099,Achievement Centers for Children & Families Foundation,Public Benefit,Delray Beach,FL,1,0,112873,37083,488280,-775890,27.19,66.1,1.5,0.16,Fundraising Organizations,Supporting the Achievement Centers for Children & Families,51.30,http://www.delraychild.org/,738153,81840,20.8,4570163,24.11,11.08,4,-701070,15.2,137000,812973,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10383,18.5,info@delraychild.org,5.43,3
11058,41-1425264,AchieveMpls,Education,Minneapolis,MN,4,0,356166,5450748,5639100,147086,30.00,88.9,19.1,0.07,Other Education Programs and Services,Supporting student success,68.84,http://www.achievempls.org,6337472,136053,30.5,7655418,38.84,2.14,4,-886724,5.6,342206,5303662,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11058,5.3,info@achievempls.org,1.12,4
